,voltage (V),p (W),planned p (W),voltage (V),p (W),planned p (W),voltage (V),p (W),planned p (W),voltage (V),p (W),planned p (W)
Feeder A,400.0,-7000.0,-7000.0,399.09,-6984.0,-7000.0,398.76,-6978.0,-6996.0,397.28,-6952.0,-6993.0
Feeder B,399.94,-6999.0,-6999.0,400.0,-7000.0,-6998.0,398.91,-6981.0,-6995.0,398.81,-6979.0,-6994.0
Feeder C,400.0,-7000.0,-7000.0,399.65,-6994.0,-7000.0,400.0,-7000.0,-7000.0,400.0,-7000.0,-6999.0
load_4,398.83,6626.0,6626.0,397.92,6965.0,6965.0,397.59,2788.0,2788.0,396.11,7121.0,7121.0
load_5,398.83,6962.0,6962.0,398.42,19.0,19.0,397.06,8250.0,8250.0,396.11,7133.0,7133.0
load_6,398.77,3756.0,3756.0,397.43,5374.0,5374.0,397.42,4835.0,4835.0,396.15,5866.0,5866.0
load_7,398.18,526.0,526.0,396.67,4995.0,4995.0,396.9,4997.0,4997.0,396.0,7788.0,8292.0
load_8,398.77,3753.0,3753.0,398.83,30.0,30.0,397.74,7661.0,7661.0,397.65,5536.0,5536.0
load_9,398.83,6610.0,6610.0,398.15,6215.0,6215.0,397.39,6457.0,6457.0,397.13,5537.0,5537.0
load_10,398.18,7495.0,7495.0,398.36,6980.0,6980.0,398.21,3669.0,3669.0,397.92,6742.0,6742.0
load_11,398.83,35.0,35.0,397.75,6325.0,6325.0,396.75,5708.0,5708.0,396.14,5711.0,5711.0
load_12,398.83,6980.0,6980.0,397.73,9450.0,9450.0,397.61,5680.0,5680.0,397.37,5533.0,5533.0
load_13,398.83,0.0,0.0,398.48,0.0,0.0,398.83,0.0,0.0,398.83,0.0,0.0
load_14,397.67,10000.0,10000.0,397.88,6403.0,6403.0,398.12,4768.0,4768.0,398.17,2552.0,2552.0
load_15,398.83,0.0,0.0,397.91,0.0,0.0,398.38,0.0,0.0,398.33,0.0,0.0
load_16,397.67,10000.0,10000.0,396.74,6483.0,10000.0,397.21,5071.0,7824.0,397.17,0.0,2844.0
DG_17,399.94,-6999.0,-6999.0,398.59,-6975.0,-6995.0,398.59,-6975.0,-6996.0,397.31,-6953.0,-6993.0
DG_18,400.0,-7000.0,-7000.0,399.59,-6993.0,-7000.0,398.22,-6969.0,-7000.0,397.27,-6952.0,-7000.0
DG_19,400.0,-7000.0,-7000.0,399.32,-6988.0,-7000.0,398.56,-6975.0,-6992.0,398.3,-6970.0,-6993.0
DG_20,399.34,-6989.0,-6989.0,399.52,-6992.0,-6994.0,399.37,-6989.0,-7000.0,399.09,-6984.0,-7000.0
DG_21,400.0,-7000.0,-7000.0,398.9,-6981.0,-7000.0,398.77,-6979.0,-6999.0,398.54,-6974.0,-6995.0
DG_22,400.0,-7000.0,-7000.0,398.51,-3571.0,-6983.0,399.09,-4264.0,-7000.0,399.0,-3998.0,-6999.0
